player_id,season,team_id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ft_pct,minutes,tov,player_efficiency
200768,2023,1610612748,55,11.2,4.1,5.1,1.0,0.4,0.404,0.345,0.859,31.2,1.9,0.4
200768,2024,1610612755,60,8.1,3.2,4.2,1.0,0.4,0.432,0.392,0.84,28.2,1.4,0.3
200768,2025,1610612755,35,3.9,1.9,2.7,0.9,0.3,0.35,0.33,0.818,18.8,0.6,0.3
200782,2021,1610612749,52,3.7,3.9,1.2,0.8,0.4,0.373,0.336,0.75,26.1,0.8,0.2
200782,2022,1610612748,71,7.6,5.5,2.1,0.8,0.2,0.484,0.415,0.738,27.9,0.9,0.2
200782,2023,1610612755,75,3.5,3.9,0.8,0.5,0.2,0.427,0.393,0.826,25.6,0.6,0.1
200782,2024,1610612746,31,1.7,2.7,0.5,0.5,0.2,0.36,0.371,1.0,15.7,0.3,0.2
200782,2025,1610612752,3,3.0,2.7,0.0,0.3,0.3,0.429,0.5,0.0,19.3,0.3,2.0
200794,2021,1610612743,56,9.0,4.7,1.8,0.9,0.6,0.476,0.343,0.724,20.8,0.9,0.3
200794,2022,1610612755,33,3.5,3.5,0.9,0.3,0.4,0.391,0.229,0.708,11.4,0.6,0.2
201142,2021,1610612751,35,26.9,7.1,5.6,0.7,1.3,0.537,0.45,0.882,33.1,3.4,1.1
201142,2022,1610612751,55,29.9,7.4,6.4,0.9,0.9,0.518,0.383,0.91,37.2,3.5,0.8
201142,2023,1610612756,47,29.1,6.7,5.0,0.7,1.4,0.56,0.404,0.919,35.6,3.3,0.8
201142,2024,1610612756,75,27.1,6.6,5.0,0.9,1.2,0.523,0.413,0.856,37.2,3.3,0.5
201142,2025,1610612756,62,26.6,6.0,4.2,0.8,1.2,0.527,0.43,0.839,36.5,3.1,0.6
201143,2021,1610612738,28,14.2,6.7,3.4,0.9,0.9,0.45,0.368,0.818,27.9,1.0,0.9
201143,2022,1610612738,69,10.2,7.7,3.4,0.7,1.3,0.467,0.336,0.842,29.1,0.9,0.3
201143,2023,1610612738,63,9.8,6.2,3.0,0.5,1.0,0.476,0.446,0.714,30.5,0.6,0.3
201143,2024,1610612738,65,8.6,6.4,2.6,0.6,1.0,0.511,0.419,0.867,26.8,0.7,0.3
201143,2025,1610612738,60,9.0,6.2,2.1,0.6,0.9,0.423,0.363,0.895,27.6,0.8,0.3
201144,2021,1610612762,51,16.2,3.5,6.0,1.4,0.2,0.444,0.412,0.852,29.4,1.9,0.5
201144,2022,1610612762,72,13.7,3.0,5.3,1.3,0.3,0.435,0.408,0.796,28.6,1.7,0.3
201144,2023,1610612750,67,11.9,2.7,6.7,1.1,0.2,0.428,0.385,0.834,30.3,1.5,0.3
201144,2024,1610612750,76,11.4,2.9,5.9,1.2,0.2,0.457,0.442,0.911,28.9,1.3,0.3
201144,2025,1610612750,71,8.2,2.6,4.5,1.1,0.2,0.4,0.41,0.9,24.7,1.1,0.2
201145,2021,1610612751,68,11.0,3.9,1.6,0.5,0.4,0.492,0.412,0.776,27.0,0.8,0.2
201145,2022,1610612743,75,10.3,3.1,1.3,0.4,0.4,0.524,0.315,0.833,24.7,0.9,0.2
201145,2023,1610612743,56,7.8,2.6,1.2,0.3,0.3,0.488,0.288,0.744,19.5,0.8,0.2
201145,2024,1610612745,78,6.5,2.3,0.9,0.2,0.4,0.456,0.331,0.819,16.8,0.6,0.1
201145,2025,1610612745,32,5.4,1.8,0.6,0.2,0.1,0.504,0.367,0.808,12.4,0.3,0.2
201152,2021,1610612741,68,12.1,6.2,4.3,1.1,0.6,0.559,0.267,0.628,24.3,2.0,0.3
201152,2022,1610612761,52,6.2,4.0,2.0,1.0,0.3,0.518,0.354,0.469,16.3,1.0,0.2
201152,2023,1610612761,54,4.4,3.1,1.4,1.0,0.1,0.545,0.176,0.692,14.7,0.8,0.2
201152,2024,1610612756,33,4.2,3.1,1.7,0.7,0.2,0.602,0.143,0.4,13.3,0.5,0.3
201162,2021,1610612747,12,0.5,1.8,0.4,0.1,0.1,0.222,0.333,0.0,6.7,0.2,0.2
201188,2021,1610612747,52,5.0,4.1,2.1,0.5,1.1,0.454,0.41,0.72,19.1,1.0,0.2
201229,2021,1610612755,11,1.5,0.9,0.2,0.3,0.2,0.235,0.286,0.833,9.0,0.3,0.3
201565,2021,1610612752,50,14.7,2.6,4.2,1.0,0.4,0.47,0.388,0.866,25.6,1.6,0.4
201565,2022,1610612752,26,12.0,3.0,4.0,0.8,0.5,0.445,0.402,0.968,24.5,1.5,0.7
201565,2023,1610612752,27,5.6,1.5,1.7,0.3,0.2,0.384,0.302,0.917,12.5,0.8,0.3
201565,2024,1610612763,24,8.0,1.9,3.3,0.3,0.1,0.461,0.366,0.889,16.6,1.3,0.5
201566,2021,1610612764,65,22.2,11.5,11.7,1.4,0.4,0.439,0.315,0.656,36.4,4.8,0.7
201566,2022,1610612747,78,18.5,7.4,7.1,1.0,0.3,0.444,0.298,0.667,34.3,3.8,0.4
201566,2023,1610612746,73,15.9,5.8,7.5,1.0,0.5,0.436,0.311,0.656,29.1,3.5,0.4
201566,2024,1610612746,68,11.1,5.0,4.5,1.1,0.3,0.454,0.273,0.688,22.5,2.1,0.3
201566,2025,1610612743,75,13.3,4.9,6.1,1.4,0.5,0.449,0.323,0.661,27.9,3.2,0.3
201567,2021,1610612739,25,12.2,7.4,2.5,0.6,0.1,0.409,0.365,0.824,24.9,1.5,0.9
201567,2022,1610612739,74,13.6,7.2,2.2,0.4,0.2,0.43,0.392,0.838,22.5,1.3,0.3
201567,2023,1610612748,62,8.2,6.4,1.9,0.3,0.2,0.389,0.334,0.879,20.0,1.1,0.3
201567,2024,1610612748,55,8.8,6.1,2.1,0.3,0.2,0.44,0.344,0.787,16.8,0.9,0.3
201567,2025,1610612748,23,5.3,4.1,1.0,0.7,0.2,0.357,0.358,0.696,10.9,0.6,0.5
201568,2021,1610612737,51,13.3,4.1,1.5,0.6,0.2,0.434,0.406,0.925,24.0,0.8,0.4
201568,2022,1610612737,66,11.7,4.7,1.5,0.4,0.2,0.434,0.381,0.904,25.3,0.6,0.3
201568,2024,1610612749,49,5.7,2.2,1.1,0.3,0.1,0.437,0.323,0.857,12.8,0.5,0.2
201569,2021,1610612745,27,17.8,2.1,2.6,0.5,0.5,0.433,0.329,0.825,29.2,1.9,0.8
201569,2022,1610612745,57,13.4,2.0,2.7,0.5,0.3,0.475,0.412,0.778,29.3,1.9,0.3
201569,2023,1610612746,69,12.4,1.9,2.7,0.6,0.4,0.446,0.371,0.821,28.5,1.5,0.2
201569,2024,1610612756,68,11.0,1.8,2.0,1.0,0.4,0.443,0.378,0.797,27.8,1.1,0.2
201569,2025,1610612755,39,6.8,1.2,1.7,0.7,0.3,0.426,0.409,0.75,19.7,0.7,0.3
201571,2021,1610612745,57,7.7,1.6,3.3,0.5,0.0,0.394,0.382,0.904,19.8,1.1,0.2
201571,2022,1610612747,55,5.3,1.2,1.9,0.3,0.0,0.423,0.415,0.884,16.1,1.0,0.1
201572,2021,1610612749,70,12.3,5.0,0.7,0.6,1.5,0.503,0.338,0.845,27.2,0.9,0.3
201572,2022,1610612749,13,12.4,4.1,0.5,0.6,1.2,0.466,0.358,0.87,23.0,0.9,1.4
